"subject" "activity" "signal.cmpnt" "sensor" "axis" "mean" "std"
"s01" "STANDING" "Body" "Acc" "Y" -0.0161375901037736 -0.973190056415094
"s01" "STANDING" "Body" "Acc" "Z" -0.110601817735849 -0.979775876981132
"s01" "STANDING" "Body" "Gyro" "X" -0.0239877347979245 -0.987191946603774
"s01" "STANDING" "Body" "Gyro" "Y" -0.0593972209811321 -0.98773444
"s01" "STANDING" "Body" "Gyro" "Z" 0.074800751 -0.980645626981132
"s01" "STANDING" "Gravity" "Acc" "X" 0.942952000377358 -0.99376298509434
"s01" "STANDING" "Gravity" "Acc" "Y" -0.272983832264151 -0.981225957924528
"s01" "STANDING" "Gravity" "Acc" "Z" 0.0134905823226415 -0.976324063584906
"s01" "LAYING" "Body" "Acc" "X" 0.22159824394 -0.9280564692
"s01" "LAYING" "Body" "Acc" "Y" -0.0405139534294 -0.83682740562
"s01" "LAYING" "Body" "Acc" "Z" -0.11320355358 -0.826061401628
"s01" "LAYING" "Body" "Gyro" "X" -0.016553093978 -0.87354386782
"s01" "LAYING" "Body" "Gyro" "Y" -0.064486124088 -0.9510904402
"s01" "LAYING" "Body" "Gyro" "Z" 0.14868943626 -0.9082846626
"s01" "LAYING" "Gravity" "Acc" "X" -0.24888179828 -0.8968300184
"s01" "LAYING" "Gravity" "Acc" "Y" 0.70554977346 -0.90772000676
"s01" "LAYING" "Gravity" "Acc" "Z" 0.4458177198 -0.85236629022
"s02" "WALKING" "Body" "Acc" "X" 0.276426586440678 -0.423642838474576
"s02" "WALKING" "Body" "Acc" "Y" -0.0185949199145763 -0.0780912533118644
"s02" "WALKING" "Body" "Acc" "Z" -0.105500357966102 -0.425257524915254
"s02" "WALKING" "Body" "Gyro" "X" -0.0530258157347458 -0.561550255762712
"s02" "WALKING" "Body" "Gyro" "Y" -0.0482382316949153 -0.53845366779661
"s02" "WALKING" "Body" "Gyro" "Z" 0.0828336633220339 -0.481085535084746
"s02" "WALKING" "Gravity" "Acc" "X" 0.91301733338983 -0.972693201355932
"s02" "WALKING" "Gravity" "Acc" "Y" -0.34660709 -0.972116879661017
"s02" "WALKING" "Gravity" "Acc" "Z" 0.0847270871186441 -0.972072847627119
"s02" "WALKING_UPSTAIRS" "Body" "Acc" "X" 0.247164790395833 -0.304376406458333
"s02" "WALKING_UPSTAIRS" "Body" "Acc" "Y" -0.0214121132045833 0.108027279889583
"s02" "WALKING_UPSTAIRS" "Body" "Acc" "Z" -0.152513899520833 -0.112121021220833
"s02" "WALKING_UPSTAIRS" "Body" "Gyro" "X" -0.0576912634583333 -0.439253058958333
"s02" "WALKING_UPSTAIRS" "Body" "Gyro" "Y" -0.0320883097395833 -0.466298336666667
"s02" "WALKING_UPSTAIRS" "Body" "Gyro" "Z" 0.0688374021666667 -0.163995791679167
"s02" "WALKING_UPSTAIRS" "Gravity" "Acc" "X" 0.790717418541667 -0.934407739791667
"s02" "WALKING_UPSTAIRS" "Gravity" "Acc" "Y" -0.416214890416667 -0.92376745375
"s02" "WALKING_UPSTAIRS" "Gravity" "Acc" "Z" -0.195888238891667 -0.878004056875
"s02" "WALKING_DOWNSTAIRS" "Body" "Acc" "X" 0.27761534806383 0.0463666814446808
"s02" "WALKING_DOWNSTAIRS" "Body" "Acc" "Y" -0.0226614158361702 0.262881788951064
"s02" "WALKING_DOWNSTAIRS" "Body" "Acc" "Z" -0.116812942382979 -0.10283790806383
"s02" "WALKING_DOWNSTAIRS" "Body" "Gyro" "X" -0.11594735287234 -0.320789230008511
"s02" "WALKING_DOWNSTAIRS" "Body" "Gyro" "Y" -0.00482329231914894 -0.415739144893617
"s02" "WALKING_DOWNSTAIRS" "Body" "Gyro" "Z" 0.097173808906383 -0.279418388042553
"s02" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "X" 0.861831345531915 -0.940361759574468
"s02" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "Y" -0.325780100638298 -0.940068525531915
"s02" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "Z" -0.0438890162723404 -0.931438313191489
"s02" "SITTING" "Body" "Acc" "X" 0.27708735173913 -0.986822279565217
"s02" "SITTING" "Body" "Acc" "Y" -0.0156879937282609 -0.950704499130435
"s02" "SITTING" "Body" "Acc" "Z" -0.109218272456522 -0.95982817173913
"s02" "SITTING" "Body" "Gyro" "X" -0.0454706620434783 -0.985742027826087
"s02" "SITTING" "Body" "Gyro" "Y" -0.0599286797043478 -0.978919526956522
"s02" "SITTING" "Body" "Gyro" "Z" 0.0412277462173913 -0.959803708695652
"s02" "SITTING" "Gravity" "Acc" "X" 0.940477273043478 -0.979988760869565
"s02" "SITTING" "Gravity" "Acc" "Y" -0.105630024498783 -0.956750273043478
"s02" "SITTING" "Gravity" "Acc" "Z" 0.19872676876087 -0.954415873043478
"s02" "STANDING" "Body" "Acc" "X" 0.277911472222222 -0.987271889259259
"s02" "STANDING" "Body" "Acc" "Y" -0.0184208270166667 -0.957304989259259
"s02" "STANDING" "Body" "Acc" "Z" -0.105908536055556 -0.949741851296296
"s02" "STANDING" "Body" "Gyro" "X" -0.0238623875712963 -0.972998629814815
"s02" "STANDING" "Body" "Gyro" "Y" -0.0820396577592593 -0.971441996481481
"s02" "STANDING" "Body" "Gyro" "Z" 0.0878351695481481 -0.964856701851852
"s02" "STANDING" "Gravity" "Acc" "X" 0.896928566851852 -0.986685818703704
"s02" "STANDING" "Gravity" "Acc" "Y" -0.370062696851852 -0.97419442037037
"s02" "STANDING" "Gravity" "Acc" "Z" 0.129747161222222 -0.945927078703704
"s02" "LAYING" "Body" "Acc" "X" 0.281373403958333 -0.974059464791667
"s02" "LAYING" "Body" "Acc" "Y" -0.0181587397583333 -0.98027739875
"s02" "LAYING" "Body" "Acc" "Z" -0.107245610416667 -0.984233296875
"s02" "LAYING" "Body" "Gyro" "X" -0.01847660675 -0.988275232916667
"s02" "LAYING" "Body" "Gyro" "Y" -0.111800824583333 -0.982291608958333
"s02" "LAYING" "Body" "Gyro" "Z" 0.144882846104167 -0.960306560416667
"s02" "LAYING" "Gravity" "Acc" "X" -0.509754238125 -0.959014441458333
"s02" "LAYING" "Gravity" "Acc" "Y" 0.752536639375 -0.988211865208333
"s02" "LAYING" "Gravity" "Acc" "Z" 0.646834879583333 -0.984230418125
"s03" "WALKING" "Body" "Acc" "X" 0.275567462068966 -0.360356726034483
"s03" "WALKING" "Body" "Acc" "Y" -0.0171767844203448 -0.0699140652103448
"s03" "WALKING" "Body" "Acc" "Z" -0.112674859827586 -0.387411994310345
"s03" "WALKING" "Body" "Gyro" "X" -0.0256405192517241 -0.571869560172414
"s03" "WALKING" "Body" "Gyro" "Y" -0.0779150937413793 -0.563793260172414
"s03" "WALKING" "Body" "Gyro" "Z" 0.0813485942827586 -0.476696411551724
"s03" "WALKING" "Gravity" "Acc" "X" 0.936506743275862 -0.97777159137931
"s03" "WALKING" "Gravity" "Acc" "Y" -0.261986357931034 -0.962355639482759
"s03" "WALKING" "Gravity" "Acc" "Z" -0.138107866258621 -0.952091795
"s03" "WALKING_UPSTAIRS" "Body" "Acc" "X" 0.260819873067797 -0.313123437627119
"s03" "WALKING_UPSTAIRS" "Body" "Acc" "Y" -0.0324109410555932 0.0116280813372881
"s03" "WALKING_UPSTAIRS" "Body" "Acc" "Z" -0.110064863437288 -0.369754604067797
"s03" "WALKING_UPSTAIRS" "Body" "Gyro" "X" 0.0721980309322034 -0.456039262525424
"s03" "WALKING_UPSTAIRS" "Body" "Gyro" "Y" -0.139275405637288 -0.582742845932203
"s03" "WALKING_UPSTAIRS" "Body" "Gyro" "Z" 0.0215603697 -0.492327305084746
"s03" "WALKING_UPSTAIRS" "Gravity" "Acc" "X" 0.883533436101695 -0.944040819322034
"s03" "WALKING_UPSTAIRS" "Gravity" "Acc" "Y" -0.382851153728814 -0.909825953898305
"s03" "WALKING_UPSTAIRS" "Gravity" "Acc" "Z" -0.162943955254237 -0.909469675084746
"s03" "WALKING_DOWNSTAIRS" "Body" "Acc" "X" 0.292423484693878 -0.0574100475102041
"s03" "WALKING_DOWNSTAIRS" "Body" "Acc" "Y" -0.0193554079328571 -0.0331503723387755
"s03" "WALKING_DOWNSTAIRS" "Body" "Acc" "Z" -0.116139842908163 -0.362240245489796
"s03" "WALKING_DOWNSTAIRS" "Body" "Gyro" "X" -0.13157327645102 -0.261653414014286
"s03" "WALKING_DOWNSTAIRS" "Body" "Gyro" "Y" -0.0139358043959184 -0.546740387959184
"s03" "WALKING_DOWNSTAIRS" "Body" "Gyro" "Z" 0.123826738353061 -0.44230776755102
"s03" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "X" 0.939057787755102 -0.950061129591837
"s03" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "Y" -0.228829214285714 -0.946094637755102
"s03" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "Z" -0.102352758040816 -0.899943947755102
"s03" "SITTING" "Body" "Acc" "X" 0.257197599134615 -0.971010120961538
"s03" "SITTING" "Body" "Acc" "Y" -0.00350299841730769 -0.856617812115385
"s03" "SITTING" "Body" "Acc" "Z" -0.0983579203269231 -0.875110175384615
"s03" "SITTING" "Body" "Gyro" "X" -0.0385365204807692 -0.965434768461538
"s03" "SITTING" "Body" "Gyro" "Y" -0.07524100275 -0.944854571346154
"s03" "SITTING" "Body" "Gyro" "Z" 0.0940113975530769 -0.926413710384615
"s03" "SITTING" "Gravity" "Acc" "X" 0.901098984615385 -0.957324457884615
"s03" "SITTING" "Gravity" "Acc" "Y" 0.127303379245962 -0.903923008269231
"s03" "SITTING" "Gravity" "Acc" "Z" 0.139020582461538 -0.897736318269231
"s03" "STANDING" "Body" "Acc" "X" 0.280046513278689 -0.96674254295082
"s03" "STANDING" "Body" "Acc" "Y" -0.0143376555065574 -0.893449307213115
"s03" "STANDING" "Body" "Acc" "Z" -0.101621722633148 -0.911419015081967
"s03" "STANDING" "Body" "Gyro" "X" -0.0246626070770492 -0.900462227540984
"s03" "STANDING" "Body" "Gyro" "Y" -0.0585101918262295 -0.927788618196721
"s03" "STANDING" "Body" "Gyro" "Z" 0.0665262054098361 -0.91236408147541
"s03" "STANDING" "Gravity" "Acc" "X" 0.93503077852459 -0.982020428032787
"s03" "STANDING" "Gravity" "Acc" "Y" -0.301735130327869 -0.957425321803279
"s03" "STANDING" "Gravity" "Acc" "Z" 0.024763106752459 -0.928161577377049
"s03" "LAYING" "Body" "Acc" "X" 0.275516852741935 -0.982776639193548
"s03" "LAYING" "Body" "Acc" "Y" -0.0189556785048387 -0.962057544516129
"s03" "LAYING" "Body" "Acc" "Z" -0.101300477506452 -0.96369103483871
"s03" "LAYING" "Body" "Gyro" "X" -0.0208170540330645 -0.974545752096774
"s03" "LAYING" "Body" "Gyro" "Y" -0.0718507159435484 -0.977272653709677
"s03" "LAYING" "Body" "Gyro" "Z" 0.137999561112903 -0.963505609032258
"s03" "LAYING" "Gravity" "Acc" "X" -0.241758478064516 -0.982512193064516
"s03" "LAYING" "Gravity" "Acc" "Y" 0.837032099677419 -0.981202749677419
"s03" "LAYING" "Gravity" "Acc" "Z" 0.48870318516129 -0.964807543870968
"s04" "WALKING" "Body" "Acc" "X" 0.278582015166667 -0.440829971333333
"s04" "WALKING" "Body" "Acc" "Y" -0.0148399475341667 -0.0788267367683333
"s04" "WALKING" "Body" "Acc" "Z" -0.11140306485 -0.586252806833333
"s04" "WALKING" "Body" "Gyro" "X" -0.0317982557795 -0.500916659
"s04" "WALKING" "Body" "Gyro" "Y" -0.0726905278583333 -0.665394092833333
"s04" "WALKING" "Body" "Gyro" "Z" 0.0805677161216667 -0.662608226
"s04" "WALKING" "Gravity" "Acc" "X" 0.963999696833333 -0.983826494833333
"s04" "WALKING" "Gravity" "Acc" "Y" -0.0858540265666667 -0.967963221
"s04" "WALKING" "Gravity" "Acc" "Z" 0.127764112666667 -0.962968112
"s04" "WALKING_UPSTAIRS" "Body" "Acc" "X" 0.270876696730769 -0.204933042903846
"s04" "WALKING_UPSTAIRS" "Body" "Acc" "Y" -0.0319804295729615 -0.0666899105180769
"s04" "WALKING_UPSTAIRS" "Body" "Acc" "Z" -0.114219455519231 -0.372137777692308
"s04" "WALKING_UPSTAIRS" "Body" "Gyro" "X" 0.0393825198942308 -0.454431043269231
"s04" "WALKING_UPSTAIRS" "Body" "Gyro" "Y" -0.0859471683596154 -0.551185569230769
"s04" "WALKING_UPSTAIRS" "Body" "Gyro" "Z" 0.0843753843384615 -0.360811047884615
"s04" "WALKING_UPSTAIRS" "Gravity" "Acc" "X" 0.946264314423077 -0.958495235576923
"s04" "WALKING_UPSTAIRS" "Gravity" "Acc" "Y" -0.232944304615385 -0.923376019038462
"s04" "WALKING_UPSTAIRS" "Gravity" "Acc" "Z" 0.0841675382884615 -0.919619453269231
"s04" "WALKING_DOWNSTAIRS" "Body" "Acc" "X" 0.279965329555556 0.0111935496222222
"s04" "WALKING_DOWNSTAIRS" "Body" "Acc" "Y" -0.00980200850666667 -0.21859832499
"s04" "WALKING_DOWNSTAIRS" "Body" "Acc" "Z" -0.1067775246 -0.479185977111111
"s04" "WALKING_DOWNSTAIRS" "Body" "Gyro" "X" -0.102838822533333 -0.370244695288889
"s04" "WALKING_DOWNSTAIRS" "Body" "Gyro" "Y" -0.0704025952333333 -0.699453537111111
"s04" "WALKING_DOWNSTAIRS" "Body" "Gyro" "Z" 0.05926394948 -0.498480800444444
"s04" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "X" 0.947731858666667 -0.955258881333333
"s04" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "Y" -0.0620852772955556 -0.932066041111111
"s04" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "Z" 0.148714808888889 -0.937753794444444
"s04" "SITTING" "Body" "Acc" "X" 0.27153827992 -0.980309931
"s04" "SITTING" "Body" "Acc" "Y" -0.007163065158 -0.89022398108
"s04" "SITTING" "Body" "Acc" "Z" -0.10587459588 -0.9322030066
"s04" "SITTING" "Body" "Gyro" "X" -0.04944351156 -0.9701317904
"s04" "SITTING" "Body" "Gyro" "Y" -0.08943006108 -0.9584681204
"s04" "SITTING" "Body" "Gyro" "Z" 0.10115033478 -0.9279722294
"s04" "SITTING" "Gravity" "Acc" "X" 0.8693030064 -0.9814052948
"s04" "SITTING" "Gravity" "Acc" "Y" 0.211622539936894 -0.93272710386
"s04" "SITTING" "Gravity" "Acc" "Z" 0.11012048108 -0.9509492546
"s04" "STANDING" "Body" "Acc" "X" 0.280499745892857 -0.97692058
"s04" "STANDING" "Body" "Acc" "Y" -0.00948911098553571 -0.86159737875
"s04" "STANDING" "Body" "Acc" "Z" -0.0961574905535714 -0.896880538392857
"s04" "STANDING" "Body" "Gyro" "X" -0.0306449342357143 -0.909687974464286
"s04" "STANDING" "Body" "Gyro" "Y" -0.061824850625 -0.949227146964286
"s04" "STANDING" "Body" "Gyro" "Z" 0.0755636430892857 -0.909995038571429
"s04" "STANDING" "Gravity" "Acc" "X" 0.95619779125 -0.972908355892857
"s04" "STANDING" "Gravity" "Acc" "Y" -0.0759009061071429 -0.917613464821429
"s04" "STANDING" "Gravity" "Acc" "Z" 0.166893825946429 -0.899404775267857
"s04" "LAYING" "Body" "Acc" "X" 0.263559214981481 -0.954193738888889
"s04" "LAYING" "Body" "Acc" "Y" -0.0150031841055556 -0.941714042407407
"s04" "LAYING" "Body" "Acc" "Z" -0.110688150314815 -0.962667314814815
"s04" "LAYING" "Body" "Gyro" "X" -0.00923156347222222 -0.973102422222222
"s04" "LAYING" "Body" "Gyro" "Y" -0.0930128180759259 -0.961109291851852
"s04" "LAYING" "Body" "Gyro" "Z" 0.169720404092593 -0.962073755
"s04" "LAYING" "Gravity" "Acc" "X" -0.420664662222222 -0.921199965925926
"s04" "LAYING" "Gravity" "Acc" "Y" 0.915165104259259 -0.969816635740741
"s04" "LAYING" "Gravity" "Acc" "Z" 0.341531310555556 -0.976176608888889
"s05" "WALKING" "Body" "Acc" "X" 0.27784234625 -0.294098534232143
"s05" "WALKING" "Body" "Acc" "Y" -0.0172850317482679 0.0767484028053571
"s05" "WALKING" "Body" "Acc" "Z" -0.107741776464286 -0.45702143625
"s05" "WALKING" "Body" "Gyro" "X" -0.0488919896632143 -0.490877497857143
"s05" "WALKING" "Body" "Gyro" "Y" -0.0690135249642857 -0.504622029821429
"s05" "WALKING" "Body" "Gyro" "Z" 0.0815435495892857 -0.318700615178571
"s05" "WALKING" "Gravity" "Acc" "X" 0.972624959821429 -0.979348381428571
"s05" "WALKING" "Gravity" "Acc" "Y" -0.100440285303571 -0.961585474821429
"s05" "WALKING" "Gravity" "Acc" "Z" 0.00247623628392857 -0.964580803928571
"s05" "WALKING_UPSTAIRS" "Body" "Acc" "X" 0.268459469914894 -0.0457237779851064
"s05" "WALKING_UPSTAIRS" "Body" "Acc" "Y" -0.0325269755153191 0.185022459476596
"s05" "WALKING_UPSTAIRS" "Body" "Acc" "Z" -0.107471453914894 -0.308938978787234
"s05" "WALKING_UPSTAIRS" "Body" "Gyro" "X" 0.0395191121489362 -0.443342262340426
"s05" "WALKING_UPSTAIRS" "Body" "Gyro" "Y" -0.117195551802128 -0.440345826382979
"s05" "WALKING_UPSTAIRS" "Body" "Gyro" "Z" 0.0424442819489362 -0.26545133312766
"s05" "WALKING_UPSTAIRS" "Gravity" "Acc" "X" 0.936821834893617 -0.95357996893617
"s05" "WALKING_UPSTAIRS" "Gravity" "Acc" "Y" -0.265942569148936 -0.900511719787234
"s05" "WALKING_UPSTAIRS" "Gravity" "Acc" "Z" -0.0232035364248936 -0.92141958
"s05" "WALKING_DOWNSTAIRS" "Body" "Acc" "X" 0.29354392712766 0.275046110468085
"s05" "WALKING_DOWNSTAIRS" "Body" "Acc" "Y" -0.00850107533191489 0.0907630761042553
"s05" "WALKING_DOWNSTAIRS" "Body" "Acc" "Z" -0.100319930659574 -0.325891435319149
"s05" "WALKING_DOWNSTAIRS" "Body" "Gyro" "X" -0.068294569906383 -0.46064684487234
"s05" "WALKING_DOWNSTAIRS" "Body" "Gyro" "Y" -0.0707805998787234 -0.409134149148936
"s05" "WALKING_DOWNSTAIRS" "Body" "Gyro" "Z" 0.0806559989574468 -0.227869042382979
"s05" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "X" 0.956649352553192 -0.950490938510638
"s05" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "Y" -0.0607578318319149 -0.912363420851064
"s05" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "Z" 0.0216777910246191 -0.927192732978723
"s05" "SITTING" "Body" "Acc" "X" 0.273694139545455 -0.980945022045455
"s05" "SITTING" "Body" "Acc" "Y" -0.00990083527045455 -0.904335121022727
"s05" "SITTING" "Body" "Acc" "Z" -0.108540300265909 -0.926094740227273
"s05" "SITTING" "Body" "Gyro" "X" -0.0422355209795455 -0.966225485
"s05" "SITTING" "Body" "Gyro" "Y" -0.0835484079545455 -0.950064068181818
"s05" "SITTING" "Body" "Gyro" "Z" 0.0823934451590909 -0.940637937045455
"s05" "SITTING" "Gravity" "Acc" "X" 0.880731443863636 -0.983137541590909
"s05" "SITTING" "Gravity" "Acc" "Y" 0.168445524 -0.939942979795454
"s05" "SITTING" "Gravity" "Acc" "Z" 0.143006857611364 -0.945008999545455
"s05" "STANDING" "Body" "Acc" "X" 0.282544390892857 -0.968591815714286
"s05" "STANDING" "Body" "Acc" "Y" -0.00700418554517857 -0.869439913392857
"s05" "STANDING" "Body" "Acc" "Z" -0.102171095696429 -0.869327321785714
"s05" "STANDING" "Body" "Gyro" "X" -0.0322711902673214 -0.910395222321429
"s05" "STANDING" "Body" "Gyro" "Y" -0.050987505 -0.933738104107143
"s05" "STANDING" "Body" "Gyro" "Z" 0.0690945763946429 -0.907471555714286
"s05" "STANDING" "Gravity" "Acc" "X" 0.960188699107143 -0.974088206071429
"s05" "STANDING" "Gravity" "Acc" "Y" -0.03871012665 -0.931973943392857
"s05" "STANDING" "Gravity" "Acc" "Z" 0.138638436607143 -0.914608495714286
"s05" "LAYING" "Body" "Acc" "X" 0.278334325576923 -0.965934509615385
"s05" "LAYING" "Body" "Acc" "Y" -0.0183042123269231 -0.969295613269231
"s05" "LAYING" "Body" "Acc" "Z" -0.107937603673077 -0.968562516346154
"s05" "LAYING" "Body" "Gyro" "X" -0.0218935013501923 -0.979498706538461
"s05" "LAYING" "Body" "Gyro" "Y" -0.0798709596153846 -0.977427370576923
"s05" "LAYING" "Body" "Gyro" "Z" 0.159894366942308 -0.960583776923077
"s05" "LAYING" "Gravity" "Acc" "X" -0.483470597692308 -0.945695336153846
"s05" "LAYING" "Gravity" "Acc" "Y" 0.954890346153846 -0.985964053846154
"s05" "LAYING" "Gravity" "Acc" "Z" 0.263644691923077 -0.977076645
"s06" "WALKING" "Body" "Acc" "X" 0.283658868070175 -0.296538717368421
"s06" "WALKING" "Body" "Acc" "Y" -0.0168954189082456 0.164213884996491
"s06" "WALKING" "Body" "Acc" "Z" -0.110303165877193 -0.504324207192982
"s06" "WALKING" "Body" "Gyro" "X" -0.025509618645614 -0.446020952631579
"s06" "WALKING" "Body" "Gyro" "Y" -0.0744462466 -0.331702267894737
"s06" "WALKING" "Body" "Gyro" "Z" 0.0838808799280702 -0.383139334736842
"s06" "WALKING" "Gravity" "Acc" "X" 0.958067455087719 -0.977779896491228
"s06" "WALKING" "Gravity" "Acc" "Y" -0.214694852280702 -0.964248568070175
"s06" "WALKING" "Gravity" "Acc" "Z" 0.0331888826842105 -0.957205025789474
"s06" "WALKING_UPSTAIRS" "Body" "Acc" "X" 0.268229355098039 -0.0501350188513725
"s06" "WALKING_UPSTAIRS" "Body" "Acc" "Y" -0.0272425385070588 0.189276117327451
"s06" "WALKING_UPSTAIRS" "Body" "Acc" "Z" -0.122082438784314 -0.353519514896078
"s06" "WALKING_UPSTAIRS" "Body" "Gyro" "X" -0.0767406825588235 -0.321973723647059
"s06" "WALKING_UPSTAIRS" "Body" "Gyro" "Y" -0.0518981989072549 -0.315799901607843
"s06" "WALKING_UPSTAIRS" "Body" "Gyro" "Z" 0.0664234025976471 -0.18390018167451
"s06" "WALKING_UPSTAIRS" "Gravity" "Acc" "X" 0.913632241568627 -0.959399425098039
"s06" "WALKING_UPSTAIRS" "Gravity" "Acc" "Y" -0.340732608823529 -0.912900683137255
"s06" "WALKING_UPSTAIRS" "Gravity" "Acc" "Z" -0.0184608964392157 -0.906196352156863
"s06" "WALKING_DOWNSTAIRS" "Body" "Acc" "X" 0.277045258145833 0.383681639791667
"s06" "WALKING_DOWNSTAIRS" "Body" "Acc" "Y" -0.019536840063125 0.360164958768542
"s06" "WALKING_DOWNSTAIRS" "Body" "Acc" "Z" -0.107209356208333 -0.320204232520417
"s06" "WALKING_DOWNSTAIRS" "Body" "Gyro" "X" -0.0960837437708333 -0.19830385328125
"s06" "WALKING_DOWNSTAIRS" "Body" "Gyro" "Y" -0.0341782208604167 -0.18922957
"s06" "WALKING_DOWNSTAIRS" "Body" "Gyro" "Z" 0.0870012595210417 -0.0940797929729167
"s06" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "X" 0.928531455208333 -0.9544062675
"s06" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "Y" -0.214046334375 -0.93357760125
"s06" "WALKING_DOWNSTAIRS" "Gravity" "Acc" "Z" -0.00307981704708333 -0.934378766458333
"s06" "SITTING" "Body" "Acc" "X" 0.276778487454545 -0.980164933636364
"s06" "SITTING" "Body" "Acc" "Y" -0.0145911615290909 -0.923682131090909
"s06" "SITTING" "Body" "Acc" "Z" -0.110127728709091 -0.925797097090909
"s06" "SITTING" "Body" "Gyro" "X" -0.0372442282830909 -0.957367681818182
"s06" "SITTING" "Body" "Gyro" "Y" -0.0899083302550909 -0.944130044727273
"s06" "SITTING" "Body" "Gyro" "Z" 0.0854346006181818 -0.939681350909091
"s06" "SITTING" "Gravity" "Acc" "X" 0.933692934909091 -0.988872369272727
"s06" "SITTING" "Gravity" "Acc" "Y" 0.0682628663363636 -0.960875994727273
"s06" "SITTING" "Gravity" "Acc" "Z" 0.0695219657167273 -0.955475832363636
"s06" "STANDING" "Body" "Acc" "X" 0.280346248596491 -0.981758159649123
